"RNO","BNO","REPLY","REPLYER","REPLYDATE","UPDATEDATE"
44,7315620,"비밀댓글입니다","replyer4",20/07/16,20/07/20
45,7315624,"댓글 테스트 5","replyer5",20/07/16,20/07/21
46,7315623,"댓글 테스트 6","replyer6",20/07/16,20/07/16
47,7315622,"댓글 테스트 7","replyer7",20/07/16,20/07/16
48,7315621,"댓글 테스트 8","replyer8",20/07/16,20/07/16
49,7315620,"댓글 테스트 9","replyer9",20/07/16,20/07/16
187,7622338,"0101110011010101010000","user0",20/07/28,20/07/29
52,7315624,"JS Test","tester",20/07/16,20/07/16
53,7315624,"JS Test","tester",20/07/16,20/07/16
54,7315624,"JS Test","tester",20/07/16,20/07/16
55,7315621,"JS Test","tester",20/07/16,20/07/16
56,7315621,"JS Test","tester",20/07/16,20/07/16
57,7315624,"JS Test","tester",20/07/16,20/07/20
58,7315623,"안되","tester",20/07/16,20/07/16
62,7315619,"댓글을 수정합니다.","tester",20/07/16,20/07/16
161,7622247,"asdsad","asdas",20/07/23,20/07/23
188,7622336,"asdsas","asdas",20/07/30,20/07/30
189,7622338,"asdas","admin90",20/07/30,20/07/30
190,7622339,"adas","admin90",20/07/30,20/07/30
191,7622340,"ㅁㄴㅇㄴㅁ","admin90",20/07/30,20/07/30
192,7622338,"ㅁㄴㅇㄴㅁ","admin90",20/07/30,20/07/30
193,7622319,"ㅁㄴㅇㅁㄴ","admin90",20/07/30,20/07/30
194,7622338,"ㅁㄴㅇㅁㄴ","admin90",20/07/30,20/07/30
195,7622338,"ㅁㅇㅁㄴ","admin90",20/07/30,20/07/30
196,7622338,"ㅇㅇㅇㅇ","admin90",20/07/30,20/07/30
59,7315620,"정지가 안되","tester",20/07/16,20/07/16
61,7315622,"장비를 정지합니다.","tester",20/07/16,20/07/16
82,7315619,"JS Test","tester",20/07/17,20/07/17
126,7315624,"JS Test","tester",20/07/17,20/07/21
150,188,"첫 댓글","관리자",20/07/21,20/07/21
151,7315624,"ㅁㄴㅇㅁ","ㅁㄴㅇㄴㅁㅇ",20/07/21,20/07/21
152,7622247,"prayforice","REYARK",20/07/21,20/07/21
88,7315620,"JS Test","tester",20/07/17,20/07/17
89,7315551,"JS Test","tester",20/07/17,20/07/17
91,7315624,"JS Test","tester",20/07/17,20/07/17
97,7315624,"JS Test","tester",20/07/17,20/07/17
99,7315624,"JS Test","tester",20/07/17,20/07/17
111,7315624,"JS Test","tester",20/07/17,20/07/17
118,7315624,"JS Test","tester",20/07/17,20/07/17
121,7315624,"JS Test","tester",20/07/17,20/07/17
122,7315620,"JS Test","tester",20/07/17,20/07/17
124,7315624,"JS Test","tester",20/07/17,20/07/17
125,7315624,"JS Test","tester",20/07/17,20/07/17
128,7315623,"JS Test","tester",20/07/17,20/07/17
129,7315623,"JS Test","tester",20/07/17,20/07/17
130,7315624,"JS Test","tester",20/07/17,20/07/17
132,7315622,"JS Test","tester",20/07/17,20/07/17
133,7315624,"JS Test","tester",20/07/17,20/07/17
134,7315622,"JS Test","tester",20/07/17,20/07/17
135,7315615,"JS Test","tester",20/07/17,20/07/17
136,7315616,"JS Test","tester",20/07/17,20/07/17
139,7315619,"JS Test","tester",20/07/17,20/07/17
141,7315624,"JS Test","tester",20/07/17,20/07/17
142,7315624,"JS Test","tester",20/07/17,20/07/17
144,7315624,"wryyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy","qwerty",20/07/17,20/07/17
146,7315624,"JS Test","tester",20/07/17,20/07/17
147,7315624,"JS Test","tester",20/07/17,20/07/17
148,7315624,"JOJO","JOSTAR",20/07/20,20/07/20
149,7315644,"재나투댜어츄겨로퓨","베미크",20/07/21,20/07/21
